customer_id,state,city,created_ts,_source_file,_ingest_date,_load_ts,phone
C00001,RS,Curitiba,2023-04-13,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00002,SP,Curitiba,2024-03-11,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00003,RJ,Rio De Janeiro,2025-05-10,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00004,RS,São Paulo,2023-09-28,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00005,SP,NULL,2023-04-17,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00006,SP,NULL,2023-03-13,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00007,NULL,Florianópolis,2024-12-01,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00008,SC,Rio De Janeiro,2023-01-21,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00009,SC,Belo Horizonte,2024-09-06,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00010,RS,Porto Alegre,2023-05-02,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00011,SP,NULL,2024-04-11,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00012,MG,NULL,2023-08-03,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00013,SP,NULL,2023-11-27,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00014,NULL,Florianópolis,2024-04-03,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00015,PR,São Paulo,2023-03-29,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00016,RJ,São Paulo,2024-01-08,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00017,SP,NULL,2023-04-10,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00018,RJ,Curitiba,2025-05-21,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00019,RJ,São Paulo,2024-10-25,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00020,SC,São Paulo,2023-05-11,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00021,PR,Florianópolis,2024-10-23,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00022,NULL,São Paulo,2023-11-05,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00023,MG,São Paulo,2025-02-08,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00024,SP,Curitiba,2023-12-10,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00025,SC,Porto Alegre,2024-05-06,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00026,RS,Florianópolis,2024-02-18,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00027,BA,Rio De Janeiro,2025-03-16,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
